Species,Tissue,CellType,Marker,Resource
Mouse,Blood vessel,Blood vessel endothelial cell,"Anpep, Cd34, Cd44, Cd93, Cxcr2, Eng, Flt1, Flt4, Icam1, Icam2, Ifngr1, Il3ra, Itga2, Kdr, Ly6c1, Lyve1, MHC class II, Pdpn, Pecam1, Plvap, Sele, Sell, Selp, Tlr2, Vcam1",Company
Mouse,Blood vessel,Epithelial cell,"Anpep, Cd1d1, Cd44, Ifngr1, Itga2, Tlr2",Company
Mouse,Blood vessel,Stem cell,Lgr5,26891025
Mouse,Nasal-associated lymphoid tissue,"CD4-positive, alpha-beta T cell","Cd27, Cd28, Cd69, Il6ra, Lef1, Nr4a1, Tcf7",32743568
Mouse,Nasal-associated lymphoid tissue,"CD8-positive, alpha-beta T cell",Cd8a,32743568
Mouse,Nasal-associated lymphoid tissue,Germinal center B cell,"Cd38, Cd69, Cd83, Cxcr4, Egr1, Egr3, Irf4, Zfp36",32743568
Mouse,Nasal-associated lymphoid tissue,Naive B cell,"Cd19, Ighm, Ms4a1",32743568
Mouse,Nasal-associated lymphoid tissue,"Naive thymus-derived CD4-positive, alpha-beta T cell","Cd4, Npm1",32743568
Mouse,Nasal-associated lymphoid tissue,Plasmablast,"Casp3, Sec61b, Tram1",32743568
Mouse,Nasal-associated lymphoid tissue,Transitional stage B cell,Cd38,32743568
Mouse,Bladder organ,Activated B cell,"Cd79a, Ctla4, Ms4a1, Mzb1",32366865
Mouse,Bladder organ,Alternatively activated macrophage,"Cd163, Csf1r, Cxcl2, F13a1, Folr2, Mrc1, Ms4a6b, Ms4a6c, Ms4a6d, Tgfbi",32460812
Mouse,Bladder organ,B cell,"Cd79a, Blnk, Cd19, Cd79b, Ms4a1, Mzb1","32366865, 31462402, 32460812"
Mouse,Bladder organ,Basal cell,"Krt5, Ccna2, Ccnb1, Hmmr, Itgb4, Krt13, Krt14, Krt17, Mcm2, Mcm3, Mcm4, Mcm7, Plk1, Shh, Trp63, Upk1a, Upk1b, Upk2, Upk3a, Upk3b, Upk3bl","30283141, 29474909, 31462402, 33538002"
Mouse,Bladder organ,Cancer-associated fibroblast,"Ccn2, Col14a1, Col1a1, Cxcl1, Cxcl12, Cxcl14, Cxcl2, Cxcl3, Cxcl5, Fap, Itga8, Mmp2, Mmp3, Mmp9, Pdgfd, Pdgfra, Pdgfrl, Pdpn, Sfrp1, Sfrp2, Sfrp4, Tgfb3, Thy1, Twist2, Wnt2, Wnt5a",32460812
Mouse,Bladder organ,Cancer-associated myofibroblast,"Acta2, Actg2, Myh10, Myh9, Myl12a, Myl6, Myl6b, Myl9, Mylk, Tagln",32460812
Mouse,Bladder organ,"CD4-positive, alpha-beta T cell","Cd3d, Cd3e, Cd3g, Cd4",32366865
Mouse,Bladder organ,"CD8-positive, alpha-beta cytotoxic T cell","Gzma, Gzmb, Ifng, Nkg7",32460812
Mouse,Bladder organ,"CD8-positive, alpha-beta T cell","Cd3d, Cd3e, Cd3g, Cd8b1, Gzmk",32366865
Mouse,Bladder organ,Dendritic cell,"Cd209a, Mgl2, Sirpa","32366865, 29474909, 31462402"
Mouse,Bladder organ,Endodermal cell,"Cxcr4, Foxa2, Kit",31273737
Mouse,Bladder organ,Endothelial cell,"Pecam1, Cdh5, Sele, Vcam1","30283141, 29474909, 31462402, 31288631, 25689100"
Mouse,Bladder organ,Epithelial cell,"Epcam, Krt19, Cdh1, Krt18, Krt8","30283141, 29474909, 31462402, 32460812"
Mouse,Bladder organ,Exhausted T cell,"Btla, Cblb, Ctla4, Havcr2, Icos, Lag3, Pdcd1, Prdm1",32460812
Mouse,Bladder organ,Fibroblast,"Col1a2, Col3a1, Dcn, Col1a1, Col6a1, Ddr2, Fap, Pdgfra, Pdpn, S100a4, Timp2","31462402, 32460812, 31288631"
Mouse,Bladder organ,Gamma-delta T cell,"Tcrd, Tcrg",32366865
Mouse,Bladder organ,Inflammatory macrophage,"Ccl2, Ccl3, Ccl4, Ccr7, Cd14, Cd80, Cxcl10, Cxcl9, Egr1, Ier3, Irf5, Nfe2l2, Nfkbid, Nfkbiz, Nlrp3, Nos2, Nr4a1, Phlda1, Tlr2, Tnf, Zfp36",32460812
Mouse,Bladder organ,Intermediate cell,"Upk1a, Upk1b, Upk3b, Upk2, Upk3a, Upk3bl, Krt13, Krt20, Krt5","31462402, 33538002"
Mouse,Bladder organ,Leydig cell,Vim,31462402
Mouse,Bladder organ,Macrophage,"Adgre1, Cd14, Cd163, Cd68, Cd86, Csf1r, Fcgr4, Lyz1, Lyz2, Ms4a7","32366865, 29474909, 32460812"
Mouse,Bladder organ,Mesenchymal cell,"Car3, Dcn, Scara5","30283141, 29474909"
Mouse,Bladder organ,Migratory dendritic cell,"Cacnb3, Flt3, Fscn1, Nudt17",32366865
Mouse,Bladder organ,Monocyte,"Cd14, Ly6c2, Lyz1, Ms4a7","32366865, 31462402"
Mouse,Bladder organ,Myofibroblast cell,Acta2,31462402
Mouse,Bladder organ,Naive B cell,"Cd79a, Ighd, Ms4a1",32366865
Mouse,Bladder organ,Natural killer cell,"Ncr1, Xcl1, Cd9, Fcer1g, Gzma, Gzmb","32366865, 29474909, 32460812"
Mouse,Bladder organ,Neuron,Gpm6a,31462402
Mouse,Bladder organ,Pericyte,"Cox4i2, Mef2c, Pcp4l1",35722109
Mouse,Bladder organ,Peritoneal macrophage,Adgre1,32366865
Mouse,Bladder organ,Plasma cell,Jchain,32366865
Mouse,Bladder organ,Plasmacytoid dendritic cell,"Cox6a2, Flt3, Irf8, Pacsin1, Siglech",32366865
Mouse,Bladder organ,Regulatory T cell,"Foxp3, Il2ra",32460812
Mouse,Bladder organ,Smooth muscle cell,"Cnn1, Tagln, Actg2, Car3, Col1a1, Col1a2, Col3a1, Col6a2, Dcn, Des, Fbln5, Ly6a, Tgfbi, Thbs2, Tpm2","29474909, 31462402, 31288631, 34411694"
Mouse,Bladder organ,Stem cell,Pou5f1,30412716
Mouse,Bladder organ,Superficial cell,"Upk1a, Upk1b, Upk3a, Upk3b, Cdh1, Grhl3, Ivl, Jun, Klf6, Krt20, Mapk8, Mapk8ip3, Mapk9, Psca, Rab11fip1, Tjp1, Upk2","30283141, 29474909, 31462402, 33538002"
Mouse,Bladder organ,T cell,"Cd2, Cd3d, Cd3e","31462402, 32460812"
Mouse,Bladder organ,Type 1 conventional dendritic cell,"Clec9a, Flt3, Xcr1",32366865
Mouse,Bladder organ,Type 2 conventional dendritic cell,"Mgl2, Flt3, Sirpa",32366865
Mouse,Bladder organ,Urothelial cell,"Upk1b, Upk2","29474909, 31273737"
Mouse,Neurohypophysis,Epithelial cell,"Clu, Cyp2f2, Krt18, Krt8, Lcn2",31915267
Mouse,Neurohypophysis,Fenestrated endothelial cell,"Emcn, Flt1, Plvap",31915267
Mouse,Neurohypophysis,Microglial cell,"C1qa, Ctss, Cx3cr1",31915267
Mouse,Neurohypophysis,Pituicyte,"Col25a1, Scn7a, Srebf1",31915267
Mouse,Neurohypophysis,Vascular leptomeningeal cell,"Dcn, Lum, Ogn",31915267
Mouse,Pancreatic duct,Acinar cell,"Amy2a2, Cpa1, Pnliprp1, Prss2, Try4","34009124, 32200801"
Mouse,Pancreatic duct,Duct epithelial cell,"Krt17, Krt23, Sox9, Spp1",32200801
Mouse,Pancreatic duct,Ductal cell,"Cftr, Kcne3, Krt19, Krt7, Mmd2, Sox9, Sparc",34009124
Mouse,Pancreatic duct,Endothelial cell,"Pecam1, Cdh5, Flt1, Kdr","34009124, 32200801"
Mouse,Pancreatic duct,Fibroblast,Col1a1,34009124
Mouse,Pancreatic duct,Mesenchymal cell,"Dpt, Fn1, Pdgfra, Sfrp4",32200801
Mouse,Pancreatic duct,Pancreatic A cell,"Arx, Gcg, Mafb, Ttr",32200801
Mouse,Pancreatic duct,Pancreatic centro-acinar cell,"Aldh1b1, Hes1",34009124
Mouse,Pancreatic duct,Pancreatic D cell,"Gap43, Ly6h, Shisal2b, Sst",32200801
Mouse,Pancreatic duct,Pancreatic stellate cell,"Cspg4, Des, Lmod1, Mylk, Tagln",32200801
Mouse,Pancreatic duct,PP cell,"Folr1, Ppy, Pyy, Tspan8",32200801
Mouse,Pancreatic duct,Type B pancreatic cell,"G6pc2, Ins2, Nkx6-1, Papss2, Ppp1r1a, Prss53, Slc2a2, Tmem215, Ucn3",32200801
Mouse,Corneal epithelium,Progenitor cell,Bmi1,29282831
Mouse,Undifferentiated genital tubercle,Endothelial cell,"Cdh5, Col18a1, Egfl7, Emcn, Gng11",34033822
Mouse,Undifferentiated genital tubercle,Epithelial cell,"Krt14, Krt15, Krt5, Perp, Sfn",34033822
Mouse,Undifferentiated genital tubercle,Mesenchymal cell,"Msx1, Bambi, Cxcl14, Msx2, Pitx1, a, Acta2, Aldh1a2, Asb4, Cdo1, Col8a2, Col9a3, Creb5, Dlx5, Epha4, Ezr, Flrt2, Foxf1, Foxp2, Gucy1a1, H19, Igf1, Igfbp2, Igfbp5, Klf4, Lmo4, Meg3, Meis1, Meis2, Nefl, Nefm, Ntm, Ptn, Rprm, Rspo3, Sfrp2, Shox2, Tac1, Tagln, Tcf21, Twist2, Vim, Zfhx3, Zfhx4",34033822
Mouse,Fetal stomach,Erythroblast,"Hba-a1, Hba-a2, Hbb-bs, Hbb-bt, Itm2a",29474909
Mouse,Ganglion,Vagal sensory neuron,"Crim1, Mef2c, St18, Ddc, Glp1r, Htr3b, Igf1, Itm2a, Mrgpra3, Npy1r, Nrp2, Resp18, Runx3, Slc17a7, Slit2, Sytl3, 1110032F04Rik, 1700011L22Rik, Aard, Abi3bp, Adam11, Aldh1a3, Amigo2, Ankrd33b, Ankrd34c, Asb4, Asic3, Atp2b2, Barx2, Bmp3, Bmp8a, C1ql3, Calb2, Calca, Camkv, Car8, Cbln4, Cckar, Ccl21a, Cdh13, Chn2, Chodl, Chrnb3, Chrnb4, Clu, Cnr1, Cntn4, Cox7a1, Crhbp, Crhr2, Ctxn3, Cysltr2, D930028M14Rik, Defb42, Dicer1, Dkk1, Doc2b, Dpp10, Ecel1, Ednra, Efcab6, Epha5, Esr1, Exoc1l, F2r, Fez1, Flt1, Foxp2, Gabra1, Gabre, Gabrg1, Galc, Galr1, Gata3, Gch1, Gda, Gfra1, Gm13582, Gpr174, Gpr65, Gpr68, Grik1, Gsg1l, Hapln1, Hs3st4, Ifi27l2a, Il31ra, Islr2, Itk, Kcng1, Kcnk3, Kcnq4, Klhdc8a, Lamp5, Lef1, Lgi2, Lgi3, Lox, Ly6h, Ly86, Mafb, Maob, Mast4, Mdfic, Mdfic2, Myl1, Nhlh2, Nppb, Nptx1, Npy2r, Nrp1, Ntm, Ntng1, Ntrk1, Nts, Ntsr1, Olfm3, Or51e2, P2ry1, Pappa2, Pcdh11x, Pcdh7, Pdk4, Pdyn, Piezo1, Pla2g7, Pnlip, Prlr, Rab3b, Rarres1, Rasgrf2, Rasgrp2, Rbp4, Rgs10, Rprml, Rspo4, Scg5, Scn11a, Sema6a, Sez6l, Shisa8, Slc38a11, Slc5a7, Smco4, Smim41, Sorl1, Sost, Spon1, Sprr1a, St8sia2, Stum, Tac1, Terf1, Tes, Tmc3, Tmem100, Tmem158, Tmem255a, Trappc3l, Trpc3, Trpm8, Tspo, Ucn, Wfdc2, Wnt4",32259485
Mouse,Ciliary body,Amacrine cell,"C1ql2, Gad1",34717927
Mouse,Ciliary body,B cell,"Cd79a, Iglc2",34717927
Mouse,Ciliary body,Cone retinal bipolar cell,"Gsg1, Scgn",34717927
Mouse,Ciliary body,Endothelial cell of vascular tree,"Flt1, Pecam1",34717927
Mouse,Ciliary body,Erythrocyte,"Alas2, Hbb-bs",34717927
Mouse,Ciliary body,Fibroblast,"Mmp3, Ly6a, Serpine2, Ccn2, Chil1, Col1a1, Col3a1, Myoc",34717927
Mouse,Ciliary body,Macrophage,"Cd163, H2-Ab1, H2-Eb1, Ms4a7, Cd52, Coro1a, Lgals3",34717927
Mouse,Ciliary body,Mature NK T cell,"Cd3d, Nkg7, Ccl5",34717927
Mouse,Ciliary body,Melanocyte,"Ednrb, Gjb2, Cited1, Mlph",34717927
Mouse,Ciliary body,Mueller cell,"Aqp4, Slc1a3, Cp, Lcp1",34717927
Mouse,Ciliary body,Neutrophil,"S100a8, S100a9",34717927
Mouse,Ciliary body,Non-pigmented ciliary epithelial cell,"Crhbp, Zic1, Col18a1",34717927
Mouse,Ciliary body,Ocular fibroblast,"Ccn2, Serpine2",34717927
Mouse,Ciliary body,Pigmented ciliary epithelial cell,"Slc4a4, Gsta3",34717927
Mouse,Ciliary body,Retinal cone cell,"Arr3, Opn1sw",34717927
Mouse,Ciliary body,Retinal ganglion cell,"Slc17a6, Sncg",34717927
Mouse,Ciliary body,Retinal pigment epithelial cell,"Car12, Rpe65",34717927
Mouse,Ciliary body,Retinal rod cell,"Nr2e3, Pde6a",34717927
Mouse,Ciliary body,Rod bipolar cell,"Car8, Sebox",34717927
Mouse,Ciliary body,Schwann cell,"Mbp, Plp1",34717927
Mouse,Ciliary body,Smooth muscle cell,"Acta2, Des",34717927
Mouse,Fetal liver,Progenitor cell,Itga2b,12900455
Mouse,Heart blood vessel,Capillary endothelial cell,"Cdk1, Cxcl12, E2f1",35004685
Mouse,Heart blood vessel,Endothelial cell of artery,"Gja4, Jag1",35004685
Mouse,Heart blood vessel,Endothelial cell of lymphatic vessel,Lyve1,35004685
Mouse,Heart blood vessel,Smooth muscle cell,"Myh11, Tagln",35004685
Mouse,Heart blood vessel,Vein endothelial cell,"Nr2f2, Vwf",35004685
Mouse,Prefrontal cortex,Astrocyte,"Acsbg1, Aqp4, Gjb6, Mlc1, Ptprz1, Tmem100",31519873
Mouse,Prefrontal cortex,Endothelial cell,"Cldn5, Flt1, Pglyrp1, Rgs5, Tm4sf1",31519873
Mouse,Prefrontal cortex,Excitatory neuron,"Neurod6, Nrn1, Slc17a7",31519873
Mouse,Prefrontal cortex,GABAergic interneuron,"Calb1, Calb2, Gad1, Gad2, Pvalb, Slc6a1, Sst, Vip",32710103
Mouse,Prefrontal cortex,Inhibitory interneuron,"Gad1, Gad2, Pnoc, Slc32a1",31519873
Mouse,Prefrontal cortex,Microglial cell,"C1qa, C1qb, C1qc, Ctss",31519873
Mouse,Prefrontal cortex,Oligodendrocyte,"Aspa, Bmp4, Brca1, Enpp6, Ermn, Mobp, Mog, Neu4, Opalin, Pak4",31519873
Mouse,Prefrontal cortex,Oligodendrocyte precursor cell,"Cacng4, Matn4, Neu4, Pdgfra, Ptprz1, Tmem100",31519873
Mouse,Prefrontal cortex,Pyramidal neuron,"Camk2b, Cck, Slc17a7",32710103
Mouse,Pyloric antrum,Stem cell of gastric gland,Bmi1,30689202
Mouse,Cornea,Macrophage,"Ccl4, Cd14, Cxcl2",35805068
Mouse,Cornea,Progenitor cell,"Cdk1, Mki67, Fmo2, Jag2, Lypd2, Muc4, Rdh10, Set",35805068
Mouse,Cornea,Stem cell,"Adm, Edn2",35805068
Mouse,Cornea,Stromal cell,"Cd34, Col1a1, Col1a2, Dcn",35805068
Mouse,Cornea,T cell,"Cd3g, Trbc1, Trdc",35805068
Mouse,Suprachiasmatic nucleus,Astrocyte,Agt,32066983
Mouse,Suprachiasmatic nucleus,Endothelial cell,Itm2a,32066983
Mouse,Suprachiasmatic nucleus,Ependymal cell,Tmem212,32066983
Mouse,Suprachiasmatic nucleus,Glial cell,Pdgfra,32066983
Mouse,Suprachiasmatic nucleus,Microglial cell,Hexb,32066983
Mouse,Suprachiasmatic nucleus,Neuron,Celf4,32066983
Mouse,Suprachiasmatic nucleus,Oligodendrocyte,Plp1,32066983
Mouse,Suprachiasmatic nucleus,Tanycyte,Col23a1,32066983
Mouse,Lamina propria of mucosa of colon,Dendritic cell,"Flt3, Itgax",32444476
Mouse,Lamina propria of mucosa of colon,Macrophage,"Cd63, Cd72, Cd81, Acp5, Adgre1, C1qa, C1qb, C1qc, Cd74, Cx3cr1, Dnase1l3, H2-M2, Hebp1, Lyz2","32188932, 32444476"
Mouse,Lamina propria of mucosa of colon,Monocyte,"Ccr2, Cd14, Ly6c2",32188932
Mouse,Arachnoid mater,Macrophage,"Egfl7, Lyve1, P2rx7",31061494
Mouse,Kidney,Alternatively activated macrophage,"Aif1, Apoe, Arg1, C1qa, C1qb, C1qc, Cd81, Il10, Mrc1, Cd163, Chil3, Clec10a, Msr1, Selenop","34367152, 35852860"
Mouse,Kidney,Astrocyte,Gfap,24586819
Mouse,Kidney,B cell,"Cd79a, Cd79b, Ly6d, Igkc, Cd19, CD79a, CD79b, Jchain, Mzb1, Siglecg","29474909, 34367152, 35110364, 29622724, 35213222, 35809207, 32978267, 31689386, 34003797, 33301705, 35112806, 35941120, 35947676, 33998598, 35852860"
Mouse,Kidney,B-1 B cell,"Ccr7, Cd69",35110364
Mouse,Kidney,Basophil,"Mcpt8, Gata2, Il4, Il6, Cd200r3, Fcer1a, Il13","34367152, 35552540, 33301705"
Mouse,Kidney,Brush border cell of the proximal tubule,"Aldob, Ass1, Gsta2, Miox, Rida, Vil1","30283141, 29474909"
Mouse,Kidney,Cap cell,Six2,32651222
Mouse,Kidney,"CD4-positive, alpha-beta memory T cell","Cxcr3, S100a4",35852860
Mouse,Kidney,"CD4-positive, alpha-beta regulatory T cell","Foxp3, Ikzf2, Il2ra, Tnfrsf18","35110364, 35852860"
Mouse,Kidney,"CD4-positive, alpha-beta T cell","Cd4, Cd3e, Cd3g, Cd40lg, Icos, Ifng, Tnfrsf18","34367152, 33301705, 35852860"
Mouse,Kidney,"CD8-positive, alpha-beta cytotoxic T cell","Cd8a, Cd8b1, Cxcr6, Gzmb, Ifng, Nkg7, Fasl, Itgae",34367152
Mouse,Kidney,"CD8-positive, alpha-beta exhausted T cell","Cd8a, Cd8b1, Havcr2, Lag3, Pdcd1, Tigit",34367152
Mouse,Kidney,"CD8-positive, alpha-beta memory T cell",S100a4,35852860
Mouse,Kidney,"CD8-positive, alpha-beta T cell","Cd8a, Cd3e, Cd8b1, Cd3g, Cx3cr1, Gzma, Gzmk, Zeb2","34367152, 35110364, 35852860"
Mouse,Kidney,Central memory T cell,"Ccr7, Cd69, Lef1, Sell",35110364
Mouse,Kidney,Circulating fbrocyte,Pdgfrb,29720573
Mouse,Kidney,Conventional dendritic cell,"Cacnb3, Cd209a, Flt3, Fscn1, Mreg",34367152
Mouse,Kidney,Dendritic cell,"Flt3, Cd209a, Batf3, Cacnb3, Cd74, Cd83, Cst3, Fscn1, Kit, Mreg, Snx22, Birc5, Ccr7, Irf8, Mki67, Naaa, Tmsb4x, Top2a","29474909, 34367152, 35809207, 34279220, 33301705, 35947676, 30948627"
Mouse,Kidney,"Effector CD4-positive, alpha-beta T cell","Cd40lg, Cxcr3, Fasl, Ifng","35110364, 35852860"
Mouse,Kidney,"Effector CD8-positive, alpha-beta T cell","Fasl, Ifng","33301705, 33998598, 35852860"
Mouse,Kidney,Endothelial cell,"Kdr, Pecam1, Flt1, Ehd3, Emcn, Ptprb, Cldn5, Eng, Nrp1, Apela, Aqp1, Bcam, Cdh5, Col1a1, Col3a1, Dcn, Epcam, Esam, F8, Lamb2, Laptm4a, Lypd2, Pbx1, Pdgfrb, Pi16, S100a6, Sema3g, Slc4a11, Sox17, Tm4sf1","33197428, 34861215, 34001902, 29474909, 34155061, 34789782, 29622724, 35213222, 35709763, 35809207, 32978267, 33115917, 34279220, 35552540, 34003797, 33301705, 35112806, 35941120, 35947676, 33875568, 29794128, 32651222, 33998598, 35852860, 33837218, 31836710"
Mouse,Kidney,Endothelial cell of vascular tree,"Emcn, Meis2, Kdr, Nrp1","35110364, 29622724"
Mouse,Kidney,Eosinophil,"Il5ra, Siglecf",35552540
Mouse,Kidney,Epithelial cell,"Lrp2, Slc34a1, Kap, Napsa, Slc12a3, Slc27a2, Atp11a, Krt8, Miox, Slc17a3, Aadat, Aldob, Aqp1, Gpx3, Keg1, Slc22a13, Slc22a6, Slc5a12, Slc5a2, Slc7a13, 0610007N19Rik, 4931406C07Rik, Abhd14b, Acadm, Ace, Acot7, Acy1, Adh5, Ak4, Amacr, Aqp2, Arpp19, Atp6v1a, Calml4, Cbr1, Cdk2ap2, Chpt1, Cml1, Cndp2, Cox7a2, Cox7c, Csad, Cth, Ctsh, Cyb5, Cyp2j5, Cyp4a14, Dbi, Defb29, Dnajc19, Dynlt1a, Entpd5, Fam213a, Fbp1, Fdx1, Fth1, Galnt11, Gclm, Gm10175, Gm10681, Gm4450, Gm6139, Gm9803, Gpm6a, Grpel1, Gss, Gsta2, Gstm5, Hadh, Hao2, Hgd, Hmgcs1, Hrsp12, Hsd3b4, Iah1, Idi1, Krt18, Macrod1, Mcur1, Mep1a, Mep1b, Mgst3, Mpv17l, Mrpl16, Myo5a, Ndufa6, Ndufv3, Nipsnap1, Nox4, Osr2, Plau, Pls1, Pou3f3, Ppa1, Prdx5, Rnf181, Rnf5, Rpl10-ps3, Scp2, Serpina6, Sh3glb1, Slc13a1, Slc13a3, Slc17a1, Slc22a19, Slc22a2, Slc23a1, Slc25a13, Slc25a17, Slc25a5, Slc3a1, Slc47a1, Slc4a4, Slc5a1, Slc5a10, Slc5a8, Slc6a18, Slc7a12, Slco1a6, Spink3, Spp2, Tmbim4, Tmem176a, Tmem176b, Tmem27, Tmigd1, Tomm5, Trp53bp2, Tspan13, Ttc36, Tyw3, Wwp1, 1700020I14Rik, Acaa2, Acly, Adamts1, Adamts9, Alpl, Ankrd11, Apc, Arid1a, Arid2, Arl4c, Atp2b1, Bag1, BC005537, Bcl7a, Bicc1, Brd3, C1ra, C1s, Cald1, Ccdc88a, Cd24a, Cd47, Cdh16, Cgnl1, Chd4, Cltc, Col18a1, Cryab, Ctsd, Cxxc5, Ddx17, Ddx6, Diap1, Emid1, Epm2aip1, Fam117b, Fgfr4, Fos, Fxyd2, G6pc, Gatm, Gm26924, Golga4, Gpc3, H19, Havcr1, Hdc, Hnf4a, Hoxa9, Hsd11b2, Hspg2, Igf2, Igfbp4, Igfbp5, Ipo9, Ivns1abp, Jund, Klf9, Krt7, Lhx1, Maf, Mbnl2, Med1, Mier1, Msl2, Mt1, Mt2, Muc1, Myef2, Ncam1, Nr2f2, Nrep, Osgin1, Pcf11, Pck1, Pcnp, Plekhg3, Ppfia1, Prrc2c, Ptma, Ptpn13, Ranbp2, Rbbp6, Rbm26, Rbms1, Rbp1, Rif1, Rnase4, S100a10, S100g, Safb2, Scaf11, Scaper, Serbp1, Sfpq, Slc12a1, Slc22a30, Slc22a8, Slc25a36, Slc27a1, Slc3a2, Smg6, Sox4, Sparc, Sumo3, Tcf4, Thoc2, Tlk2, Tmsb4x, Trabd2b, Trim8, Tsc22d1, Tshz2, Tubb5, Ugt2b34, Umod, Wsb1, Ythdc1, Zc3h13, Zfp292, Zfp503","33197428, 34861215, 34001902, 29474909, 34155061, 35110364, 34853151, 29622724, 34622165, 35213222, 35709763, 31689386, 33115917, 34279220, 35552540, 34003797, 33301705, 35941120, 35947676, 33875568, 33769948, 32651222, 33998598, 33159963, 35852860, 33837218, 28851704"
Mouse,Kidney,Fenestrated endothelial cell,Plvap,"30283141, 29474909"
Mouse,Kidney,Fibroblast,"Plac8, Pdgfrb, S100a4, Acta2, Cald1, Ccn2, Cfh, Col1a1, Col1a2, Col3a1, Dcn, Lyz2, Timp1, Vim","34155061, 29622724, 35213222, 35709763, 31689386, 33115917, 34279220, 35552540, 34003797, 35941120, 33875568, 35852860"
Mouse,Kidney,Follicular helper B cell,"Ccr6, Cr2",35110364
Mouse,Kidney,Glomerular cell,"Nphs1, Cldn1, Ncam1, Tagln","34853151, 35947676"
Mouse,Kidney,Hematopoietic stem cell,"Cd52, Fcer1g",34789782
Mouse,Kidney,IgA-positive secretory B cell,"Igkc, Jchain",35110364
Mouse,Kidney,Inflammatory macrophage,"Tnf, Il1b, Nos2, Cd68, Cd80, Cd86, Socs3, Tlr2","34367152, 35852860"
Mouse,Kidney,Juxtaglomerular complex cell,Ren1,33197428
Mouse,Kidney,Kidney collecting duct cell,"Aqp2, Atp6v1g3, Insrr, Rhbg, Atp6v0d2, Calb1, Gata3, Hsd11b2, Scnn1g, Tfcp2l1, Wnt7b","33197428, 34861215, 34789782, 34853151, 29622724, 34622165, 32978267, 33301705, 35947676, 32651222"
Mouse,Kidney,Kidney collecting duct epithelial cell,"Aqp3, Cald1, Slc12a3",31754020
Mouse,Kidney,Kidney collecting duct intercalated cell,"Atp6v1g3, Atp6v0d2, Foxi1, Slc26a4, Aqp6, Car12, Car2, Chchd10, Cycs, Fam13a, Hmx2, Insrr, Mme, Tmem61, 9130008F23Rik, Acat1, Aco2, Adgrf5, Aldh1l1, Aldoa, Aplp2, Atp12a, Atp1b1, Atp6ap1, Atp6ap2, Atp6v0a4, Atp6v0b, Atp6v0c, Atp6v0e, Atp6v1a, Atp6v1b1, Atp6v1c2, Atp6v1d, Atp6v1e1, Atp6v1h, Avpr1a, Ckmt1, Clcn5, Clcnkb, Cox6a1, Cox6b1, Cox7a2, Cpsf4l, Cyc1, Cystm1, Dab2, Defb1, Dkk3, Efhd1, Emb, Eps8, Fam63a, Fstl1, Gadd45g, Gm10053, Gm10221, Gm26924, Gpr116, Guca2a, Hepacam2, Hes1, Hexb, Hook3, Id2, Itm2b, Itpr2, Kit, Ldhb, Lgals3, Mcoln3, Mdh1, Mif, Mkks, Ncoa7, Ndufv2, Ociad2, Oxgr1, Pam, Parm1, Pde1a, Pgrmc1, Ppargc1a, Ppfibp2, Prdx5, Ralgapa2, Rcan2, Rgs2, Rhbg, Rhcg, Rnf152, S100a1, S100g, Scand1, Sdhd, Sec23b, Serpinb6b, Serpinb9, Sgk1, Slc25a5, Slc4a1, Slc4a9, Slc9a3r1, Sod2, Spink8, Syn2, Tacc2, Tbc1d24, Tdrp, Tfcp2l1, Tinagl1, Tmbim4, Tmem117, Tmem213, Tubb2a, Uqcr11, Uqcrb, Usmg5","33197428, 29474909, 29622724, 35809207, 34279220, 34003797, 33875568, 35852860, 28851704"
Mouse,Kidney,Kidney collecting duct principal cell,"Aqp2, Hsd11b2, Aqp4, Fxyd4, 1600029D21Rik, Akr1b3, Aqp3, Arhgdib, Atp1b1, Avpr2, Btc, Cdh16, Cdkl1, Cryab, Ctsd, Cystm1, Ednrb, Elf5, Foxq1, Fstl1, Gm10664, Gsta3, Hsd3b6, Id2, Id3, Igfbp7, Kcne1, Krt18, Krt7, Lgals3, Mgst3, Neat1, Npnt, Pdzk1ip1, Phactr1, Ptger1, Ranbp3l, Rhbg, Scg5, Scnn1a, Sgk1, Spink8, Tacstd2, Tmem45b","30283141, 29474909, 34853151, 29622724, 35709763, 35809207, 31689386, 33115917, 34279220, 34003797, 33301705, 33875568, 33998598, 35852860, 28851704"
Mouse,Kidney,Kidney connecting tubule epithelial cell,"Aqp2, Slc8a1, Calb1, Hsd11b2, Klk1, Lrp2, Scnn1g, Slc12a3, Trpv5, Wnk1","29474909, 34155061, 34853151, 35709763, 34279220, 34003797, 33301705, 33769948, 33998598, 33159963"
Mouse,Kidney,Kidney corpuscule cell,Cldn1,31689386
Mouse,Kidney,Kidney cortex collecting duct principal cell,"Aqp2, Cldn4, Fxyd4, Hsd11b2, Lgals3",29474909
Mouse,Kidney,Kidney cortical cell,"Alcam, Aldh1a2, Ank3, Aprt, Atp1b1, Cdca7, Chchd10, Col1a1, Dkk1, Dlk1, Etl4, Fam178a, Fibin, Id2, Lig1, Mcm5, Meis1, Mest, Nasp, Nsg1, Pcna, Pcna-ps2, Ptn, S100g, Tfrc, Tsr1","34789782, 28851704"
